,epoch,batch,train_epoch_loss_avg_over_batch,train_acc,train_acc_clean_only,train_asr_bd_only,train_ra_bd_only,clean_test_loss_avg_over_batch,bd_test_loss_avg_over_batch,test_acc,test_asr,test_ra
0,0,390,1.5852601876625647,0.4169471153846154,0.439226334883928,0.21638950110198357,0.4335804448006412,1.3525674675084367,1.641646339859761,0.5258,0.24188888888888888,0.4872222222222222
1,1,390,1.1642713395448832,0.5860777243589743,0.6322220243924153,0.17040898155573375,0.6244987971130713,0.9677878897401351,1.9981135314619038,0.6689,0.18088888888888888,0.5923333333333334
2,2,390,0.8957116889647948,0.6922676282051282,0.7114781099067418,0.5193348026447606,0.44399919855740333,0.8458245524877235,0.5616282501690825,0.7103,0.827,0.142
3,3,390,0.7448588229142703,0.750761217948718,0.7685733363009125,0.5903807615230461,0.41342685370741483,0.7717420798313769,0.16965485871835073,0.7442,0.952,0.039
4,4,390,0.6635134332455122,0.7821714743589744,0.8018250612063209,0.6052104208416834,0.4156312625250501,0.5960553948637806,0.2255094437007333,0.7991,0.9286666666666666,0.06055555555555556
5,5,390,0.6167085909690613,0.7954326923076923,0.8183416805787423,0.5893893893893893,0.43003003003003004,0.7162198809128774,0.2003390563940498,0.7746,0.936,0.05377777777777778
6,6,390,0.556052575738002,0.8188501602564102,0.8422177212935965,0.6084952915247446,0.42656782207974353,0.5757315803932238,0.20554926810445082,0.8066,0.9363333333333334,0.05466666666666667
7,7,390,0.5202839406637045,0.8306089743589744,0.8539951034943245,0.6200400801603206,0.4188376753507014,0.5278367981126036,0.32235440821714806,0.8282,0.9067777777777778,0.08422222222222223
8,8,390,0.49466240360186653,0.8425280448717949,0.8675688308219636,0.6171107994389902,0.4169505109196554,0.4784102515329289,0.31591558204570286,0.8449,0.9084444444444445,0.08144444444444444
9,9,390,0.4621565493253561,0.8529647435897436,0.8781828703703703,0.6260016025641025,0.4176682692307692,0.5625496284116672,0.13019658128639133,0.8267,0.9526666666666667,0.04133333333333333
10,10,390,0.447582681897359,0.8573517628205128,0.8831096570296677,0.6253758268190018,0.4239326518340349,0.48013906086547464,0.14823639883436787,0.8469,0.9543333333333334,0.04122222222222222
11,11,390,0.42411080942704127,0.8636418269230769,0.8909564404478376,0.6178650110154216,0.4251952733827358,0.461712526746943,0.3484568180332721,0.8514,0.9061111111111111,0.08344444444444445
12,12,390,0.4034286238444157,0.8697716346153846,0.8975540272862834,0.6195630386851072,0.432150731609541,0.3845470762705501,0.18874609633020953,0.8718,0.9408888888888889,0.054
13,13,390,0.3897369479521727,0.8768028846153846,0.9057804883477641,0.6160624874824755,0.4384137792910074,0.5330247456514383,0.10613957516403055,0.8327,0.9636666666666667,0.03155555555555556
14,14,390,0.3797937491765389,0.8789463141025641,0.906401638249566,0.631958350020024,0.42150580696836204,0.3871072772182996,0.1531975777478705,0.8808,0.9451111111111111,0.051
15,15,390,0.36007871150206294,0.8866586538461538,0.9167334401709402,0.6159855769230769,0.43189102564102566,0.4263965987329242,0.12963219188993247,0.8678,0.9587777777777777,0.03788888888888889
16,16,390,0.34591584022228533,0.891426282051282,0.9205653238370799,0.6290581162324649,0.4274549098196393,0.3731336229586903,0.10488321690518461,0.8809,0.9663333333333334,0.031
17,17,390,0.3392056520168598,0.8919471153846154,0.9217911909372148,0.6231709761475246,0.43515734616155544,0.5516493429866018,0.09580422708564634,0.8426,0.9658888888888889,0.030333333333333334
