,epoch,batch,train_epoch_loss_avg_over_batch,train_acc,train_acc_clean_only,train_asr_bd_only,train_ra_bd_only,clean_test_loss_avg_over_batch,bd_test_loss_avg_over_batch,test_acc,test_asr,test_ra
last,99,390,0.0010234873852683589,0.9999799679487179,0.9999777436513766,1.0,0.10082180797755061,0.29659691981122466,0.00427912173990093,0.934,0.9987777777777778,0.0011111111111111111
valid_max,99,390,1.4530304167515193,0.9999799679487179,0.9999777441467106,1.0,0.20937687838108596,1.352122101602675,0.7247452303557329,0.9346,0.9993333333333333,0.11155555555555556
exist_nan_value,False,False,False,False,False,False,False,False,False,False,False,False
