,epoch,batch,train_epoch_loss_avg_over_batch,train_acc,train_acc_clean_only,train_asr_bd_only,train_ra_bd_only,clean_test_loss_avg_over_batch,bd_test_loss_avg_over_batch,test_acc,test_asr,test_ra
0,0,390,1.4530304167515193,0.47139423076923076,0.443010082574729,0.72690843518333,0.20937687838108596,1.352122101602675,0.11365765438113413,0.5463,0.9681111111111111,0.02266666666666667
1,1,390,0.8872346573915237,0.6830528846153846,0.6535208759903854,0.9490777866880513,0.13552526062550121,0.9424538567096372,0.7247452303557329,0.6843,0.8181111111111111,0.11155555555555556
2,2,390,0.6805847459878677,0.7612179487179487,0.7375637116339113,0.9741534762572631,0.11881386495692246,0.7029013007502013,0.02392844876690938,0.7547,0.9916666666666667,0.007666666666666666
3,3,390,0.5639658953898993,0.8045873397435898,0.7847318050300467,0.9833667334669338,0.11342685370741483,0.7042840662636335,0.040868938656222126,0.7702,0.9856666666666667,0.011333333333333334
4,4,390,0.4951635039005524,0.8302283653846154,0.813176051635878,0.9837675350701403,0.1128256513026052,0.7678065831902661,0.13895847740202721,0.7581,0.9606666666666667,0.032
5,5,390,0.44811580242254795,0.8454527243589743,0.8296939343350028,0.9871871871871872,0.11171171171171171,0.6656601549703863,0.04545553529333376,0.7887,0.984,0.013
6,6,390,0.3983478469344286,0.8631009615384615,0.8487836364041043,0.9919855740332598,0.10679222600681226,0.5203105999699121,0.004444822860381797,0.8302,0.9991111111111111,0.0007777777777777777
7,7,390,0.3704713503519694,0.8721554487179487,0.8589583797017583,0.9909819639278558,0.10741482965931863,0.5274831252762034,0.078080579271199,0.8273,0.9767777777777777,0.018111111111111113
8,8,390,0.3423561035440518,0.882431891025641,0.8701951968661666,0.9925866559807653,0.10739330795431777,0.5403730537317977,0.012227545868856242,0.8307,0.9955555555555555,0.003777777777777778
9,9,390,0.31282039819619595,0.8931490384615385,0.8820779914529915,0.9927884615384616,0.10677083333333333,0.4589631572554383,0.014248645537931301,0.844,0.9942222222222222,0.005111111111111111
10,10,390,0.2905071414051912,0.8992988782051282,0.8888740513231399,0.993185007015434,0.1062337141711766,0.5157481997827941,0.044313313042795004,0.8328,0.9872222222222222,0.011222222222222222
11,11,390,0.2767015543503639,0.9049078525641026,0.8949406815500701,0.9945924294011617,0.1053474864810735,0.4229487646606904,0.04759653468007996,0.8619,0.9865555555555555,0.012222222222222223
12,12,390,0.25491481799727833,0.911738782051282,0.9025617057265585,0.9943876528362398,0.10603327320104229,0.418260412880137,0.06575979317315447,0.8661,0.9848888888888889,0.014
13,13,390,0.24195626593935185,0.915645032051282,0.9069156631869477,0.9941918686160625,0.1053474864810735,0.4512755338904224,0.010721271103779477,0.8554,0.9971111111111111,0.002777777777777778
14,14,390,0.23153015990287829,0.9202323717948718,0.911966344655656,0.9945935122146576,0.10452543051661994,0.39570937899849085,0.01712313936519089,0.875,0.9936666666666667,0.005666666666666667
15,15,390,0.2095476851058312,0.926542467948718,0.9190705128205128,0.9937900641025641,0.10596955128205128,0.5305762604067598,0.05627993373224892,0.8526,0.985,0.014
16,16,390,0.2017179919932133,0.9289863782051282,0.9216781660360561,0.9947895791583167,0.10440881763527055,0.4052091227679313,0.02425349853759874,0.8767,0.9926666666666667,0.0067777777777777775
17,17,390,0.1884676706714508,0.9341746794871795,0.9272439963499588,0.996592503507717,0.10382842252956505,0.5403810490535784,0.00683759376121844,0.8462,0.9982222222222222,0.0016666666666666668
18,18,390,0.1813149275114903,0.9375400641025641,0.9312010327635327,0.9945913461538461,0.10516826923076923,0.42047353187882447,0.01460051763305414,0.8674,0.9955555555555555,0.004333333333333333
19,19,390,0.17176947592733763,0.9395232371794872,0.9332724966057557,0.9957924263674615,0.10378681626928471,0.38401990006618864,0.006685596462761738,0.8816,0.9978888888888889,0.002111111111111111
20,20,390,0.1631035521053351,0.9434695512820512,0.9377030937013131,0.9953907815631262,0.10480961923847695,0.40522460658339005,0.033232576774230756,0.8781,0.9914444444444445,0.0077777777777777776
21,21,390,0.15537266506789588,0.9444711538461539,0.9386851241876614,0.9965918203688853,0.10364875701684041,0.42710316143458404,0.02563916082396299,0.8791,0.9928888888888889,0.0064444444444444445
22,22,390,0.14272066863874594,0.950020032051282,0.9448017983930201,0.9969945902624725,0.1031857343217792,0.3960848262038412,0.02773910789675912,0.8852,0.9922222222222222,0.0067777777777777775
23,23,390,0.1361984833692893,0.9521634615384615,0.9471856847165654,0.9969933854479855,0.10342754058929646,0.37819290724641913,0.012486677851932616,0.8893,0.9961111111111111,0.0035555555555555557
24,24,390,0.13017118213077386,0.953926282051282,0.9490718069714642,0.9975971165398478,0.10252302763315979,0.4314934947068178,0.08102418099280814,0.8795,0.9777777777777777,0.02
25,25,390,0.12480294631841855,0.9561498397435897,0.9516082359488036,0.996996996996997,0.1035035035035035,0.3671352793521519,0.04636209036517088,0.8993,0.9864444444444445,0.012333333333333333
26,26,390,0.12261163690724435,0.9569110576923077,0.9524540901502504,0.996996996996997,0.1037037037037037,0.3482686769735964,0.06487586552196864,0.8974,0.9837777777777778,0.014777777777777779
27,27,390,0.10979622698460634,0.9622996794871795,0.9582470899824175,0.9987973541791942,0.10162357185808779,0.3501445265321792,0.01420312889065956,0.9038,0.9961111111111111,0.0036666666666666666
28,28,390,0.10384157846371332,0.9635817307692308,0.9599394640790528,0.9963913392141138,0.10404971932638332,0.4556429593623439,0.004405124346036906,0.8781,0.9982222222222222,0.0016666666666666668
29,29,390,0.10311052423830215,0.9629407051282052,0.9590955623803801,0.9975932611311673,0.10248696349779382,0.364145718986475,0.014798199966689872,0.9005,0.9955555555555555,0.004
30,30,390,0.08916874840282477,0.9680889423076923,0.9646529849085163,0.9989987985582699,0.10152182619142971,0.37541340687606906,0.02012448354540077,0.8969,0.9933333333333333,0.006555555555555556
31,31,390,0.08985782538492901,0.9681490384615384,0.9649232138882706,0.9971943887775551,0.10240480961923848,0.36684950205344186,0.020863360902063813,0.9008,0.9941111111111111,0.005222222222222222
32,32,390,0.0861136373036947,0.9699118589743589,0.966858084045584,0.9973958333333334,0.10276442307692307,0.3586738604722144,0.10265640886893994,0.9034,0.9751111111111112,0.02322222222222222
33,33,390,0.08343370099766896,0.9709935897435897,0.9680154914529915,0.9977964743589743,0.10276442307692307,0.4083214654009553,0.010455091988867928,0.8957,0.997,0.0028888888888888888
34,34,390,0.07747748946914305,0.9730969551282052,0.9702851292096067,0.9983977568596034,0.10214300020028039,0.399604725875432,0.02317402562978163,0.8979,0.9931111111111111,0.006666666666666667
35,35,390,0.06819332067687542,0.9760216346153846,0.9736279877153158,0.9975932611311673,0.10268752507019654,0.3580534707141828,0.014980354601211218,0.9094,0.9952222222222222,0.0044444444444444444
36,36,390,0.06700656668115886,0.9766826923076923,0.974223132401389,0.9987990392313851,0.10168134507606084,0.3504726118113421,0.08626574526736054,0.9091,0.9761111111111112,0.021222222222222222
37,37,390,0.05853278441115832,0.9796875,0.9776526364992099,0.9979971960745043,0.10194271980773083,0.45182356464711926,0.00430650565452735,0.8966,0.9983333333333333,0.0014444444444444444
38,38,390,0.06217684505077509,0.9778645833333334,0.9756255008458731,0.9979983987189752,0.10268214571657326,0.45494406387398517,0.011359872491142432,0.8966,0.997,0.002777777777777778
39,39,390,0.05744199038316042,0.9803485576923077,0.9782569991543152,0.9991977537103891,0.10108303249097472,0.3544759533450573,0.014551635144067711,0.9116,0.995,0.004666666666666667
40,40,390,0.05142172021457018,0.9815304487179487,0.9796799537067948,0.9981960312687913,0.10162357185808779,0.4272320004580896,0.0019069095368971915,0.8994,0.9992222222222222,0.0006666666666666666
41,41,390,0.049289495747488664,0.9828926282051282,0.9811467746961671,0.9985983179815779,0.10172206647977573,0.3932780086805549,0.06149931433102326,0.905,0.982,0.016555555555555556
42,42,390,0.04877878715021488,0.9828926282051282,0.9812362276582011,0.9977969156819547,0.10234328059282996,0.39320787438486193,0.00791427262294785,0.9086,0.9974444444444445,0.0024444444444444444
43,43,390,0.0412021750297684,0.9859775641025641,0.9845085470085471,0.999198717948718,0.10096153846153846,0.3777362104458145,0.0025170125889380324,0.9112,0.9988888888888889,0.0011111111111111111
44,44,390,0.040976975903583644,0.9863782051282052,0.9850198103548057,0.9985983179815779,0.10192230676812175,0.3708804148850562,0.008804993351696301,0.9115,0.997,0.0028888888888888888
45,45,390,0.040374955053154665,0.9862980769230769,0.9848417397498108,0.999399279134962,0.10092110532639167,0.3691641811894465,0.0064334584068143465,0.9149,0.9975555555555555,0.0024444444444444444
46,46,390,0.03753080755496063,0.9869591346153846,0.9856430574722878,0.9987985582699239,0.10172206647977573,0.38790905711394325,0.05083542117544837,0.9097,0.9856666666666667,0.013777777777777778
47,47,390,0.03195932722316147,0.9889623397435897,0.9878037923974006,0.9993985565356857,0.1008420208500401,0.35384774123188817,0.013561298591603543,0.9169,0.9954444444444445,0.004111111111111111
48,48,390,0.027306610773890638,0.9908052884615385,0.9899619399496984,0.9983971148066519,0.10218393107593668,0.3792728196971024,0.004273851095050563,0.9113,0.9984444444444445,0.0014444444444444444
49,49,390,0.024495404155160754,0.991806891025641,0.9909198139452073,0.9997994786444756,0.10026067776218167,0.3635234830877449,0.004993406334350371,0.9181,0.9982222222222222,0.0017777777777777779
50,50,390,0.024354634530699023,0.9916065705128205,0.9907413589726469,0.9993986770895971,0.10082180797755061,0.35331393231319475,0.0043995355670801125,0.9186,0.9984444444444445,0.0014444444444444444
51,51,390,0.021609400237241807,0.9931290064102564,0.9924099094085962,0.9995994392149009,0.10094131784498298,0.37430485408706,0.00209115652441773,0.9187,0.9993333333333333,0.0006666666666666666
52,52,390,0.01954365004874909,0.9936298076923077,0.9930111954416969,0.999198557403326,0.10098176718092566,0.3972127195211905,0.021553589445855476,0.9147,0.994,0.005666666666666667
53,53,390,0.017967390924548875,0.9942107371794872,0.9936562346970573,0.999199038846616,0.10152182619142971,0.34807761900032624,0.005657912384672785,0.9233,0.9982222222222222,0.0017777777777777779
54,54,390,0.014194217937825344,0.9953926282051282,0.9949029558404558,0.9997996794871795,0.10096153846153846,0.36977086838664885,0.020987954414279007,0.9203,0.9943333333333333,0.005111111111111111
55,55,390,0.012415646633151202,0.9961939102564102,0.9957935501101689,0.9997995590298657,0.10082180797755061,0.35967732051128076,0.006607721079485344,0.9195,0.9976666666666667,0.0023333333333333335
56,56,390,0.012106137306321985,0.9962740384615385,0.9958602270198086,1.0,0.10020040080160321,0.3891413168439382,0.012884255121570867,0.9197,0.9956666666666667,0.004111111111111111
57,57,390,0.011122411980072801,0.9968149038461539,0.9964833403814908,0.9997996393508315,0.10098176718092566,0.3656215042441706,0.004524258443098906,0.9212,0.9984444444444445,0.0013333333333333333
58,58,390,0.010069541445745227,0.9970152243589744,0.9967283167523536,0.9995991180597315,0.10102224894768491,0.3386556896605069,0.0017799451791257897,0.9249,0.9992222222222222,0.0006666666666666666
59,59,390,0.007873112129089303,0.9977564102564103,0.997529270355696,0.999799759711654,0.10032038446135362,0.33095267768713493,0.003804252932111371,0.9253,0.9987777777777778,0.0012222222222222222
60,60,390,0.008423709873265276,0.997676282051282,0.9974626633132275,0.999599278701663,0.10098176718092566,0.35579778423792197,0.008662062355866305,0.9263,0.9964444444444445,0.0034444444444444444
