,epoch,train_epoch_loss_avg_over_batch,train_acc,train_acc_clean_only,train_asr_bd_only,train_ra_bd_only,clean_test_loss_avg_over_batch,bd_test_loss_avg_over_batch,ra_test_loss_avg_over_batch,test_acc,test_asr,test_ra
last,59,0.005149302043419178,0.9990505050505051,0.9989555323451632,1.0,0.09042435014441236,0.38061486929655075,0.01746096412795042,37.467741118537056,0.9222,0.9964444444444445,0.0034444444444444444
valid_max,59,0.5851453863775608,0.9990505050505051,0.9989555323451632,1.0,0.16951788491446346,0.6297691009938717,0.14804207243853146,49.92105918460422,0.9234,0.9998888888888889,0.035222222222222224
exist_nan_value,False,False,False,False,False,False,False,False,False,False,False,False
