,epoch,train_epoch_loss_avg_over_batch,train_acc,train_acc_clean_only,train_asr_bd_only,train_ra_bd_only,clean_test_loss_avg_over_batch,bd_test_loss_avg_over_batch,ra_test_loss_avg_over_batch,test_acc,test_asr,test_ra
last,19,17.353717803955078,0.096,0.9967333333333334,0.096,0.716,1.5231037735939026,30.051765547858345,0.6610999440567361,0.8293,0.0,0.901
valid_max,59,17.353717803955078,0.9731313131313132,0.9967333333333334,0.7371111111111112,0.854,1.5231037735939026,30.051765547858345,30.080801275041367,0.9145,0.9793333333333333,0.9057777777777778
exist_nan_value,False,False,False,False,False,False,False,False,False,False,False,False
