,epoch,train_epoch_loss_avg_over_batch,train_acc,train_acc_clean_only,train_asr_bd_only,train_ra_bd_only,clean_test_loss_avg_over_batch,bd_test_loss_avg_over_batch,ra_test_loss_avg_over_batch,test_acc,test_asr,test_ra
last,59,0.0875269401933729,0.9731313131313132,0.9967333333333334,0.7371111111111112,0.3253333333333333,0.44215687923133373,0.12472892894099157,17.23658625284831,0.9108,0.9658888888888889,0.03222222222222222
valid_max,59,0.759816935074698,0.9731313131313132,0.9967333333333334,0.7371111111111112,0.574,0.5950013361871243,0.19645786037047705,30.080801275041367,0.9145,0.9793333333333333,0.04633333333333333
exist_nan_value,False,False,False,False,False,False,False,False,False,False,False,False
